garment_path,split,garment_id,max_token_length,drape_failed,has_digit_in_panel_name,panel_count
garments_5000_0/default_body/rand_UUXR0I0EI8,test,rand_UUXR0I0EI8,1085,False,False,16
garments_5000_0/default_body/rand_4KHDR3L9GP,test,rand_4KHDR3L9GP,1008,False,True,12
garments_5000_0/default_body/rand_I88DFY2AKV,test,rand_I88DFY2AKV,501,False,False,8
garments_5000_0/default_body/rand_T4OO18VVVL,test,rand_T4OO18VVVL,721,False,False,12
garments_5000_0/default_body/rand_OP1DX8FIJO,test,rand_OP1DX8FIJO,327,False,False,6
garments_5000_0/default_body/rand_SQ3XLQF6FQ,test,rand_SQ3XLQF6FQ,459,False,False,8
garments_5000_0/default_body/rand_33SS1J68DG,test,rand_33SS1J68DG,172,False,False,2
garments_5000_0/default_body/rand_M1GT0AAVVT,test,rand_M1GT0AAVVT,463,False,False,10
garments_5000_0/default_body/rand_FU5V7XRTA3,test,rand_FU5V7XRTA3,494,False,False,8
garments_5000_0/default_body/rand_4TRJ5YJIR5,test,rand_4TRJ5YJIR5,1598,False,True,28
garments_5000_0/default_body/rand_K85JHWIV6Z,test,rand_K85JHWIV6Z,309,False,False,4
garments_5000_0/default_body/rand_80CXQ1WFF0,test,rand_80CXQ1WFF0,185,False,False,4
garments_5000_0/default_body/rand_SH5KRXRBFA,test,rand_SH5KRXRBFA,1205,False,True,21
garments_5000_0/default_body/rand_8SW5ONTTX8,test,rand_8SW5ONTTX8,1003,False,True,24
garments_5000_0/default_body/rand_PX73IHUZFG,test,rand_PX73IHUZFG,276,False,False,4
garments_5000_0/default_body/rand_QCEKVWCP72,test,rand_QCEKVWCP72,798,False,True,18
garments_5000_0/default_body/rand_B73SRBUL8I,test,rand_B73SRBUL8I,952,False,False,12
garments_5000_0/default_body/rand_6KQQIZWB4F,test,rand_6KQQIZWB4F,164,False,False,4
garments_5000_0/default_body/rand_N61JKH6OG6,test,rand_N61JKH6OG6,1235,False,True,26
garments_5000_0/default_body/rand_L05SN5LP57,test,rand_L05SN5LP57,572,False,True,10
garments_5000_0/default_body/rand_CM3QENKJAX,test,rand_CM3QENKJAX,667,False,False,8
garments_5000_0/default_body/rand_873KMDM5Y5,test,rand_873KMDM5Y5,633,False,False,10
garments_5000_0/default_body/rand_X5IFQNTAGM,test,rand_X5IFQNTAGM,433,False,False,6
garments_5000_0/default_body/rand_YHOHSFKE03,test,rand_YHOHSFKE03,331,False,False,4
garments_5000_0/default_body/rand_8XXMSSIB7Q,test,rand_8XXMSSIB7Q,173,False,False,4
garments_5000_0/default_body/rand_SXY0UU33BS,test,rand_SXY0UU33BS,778,False,False,12
garments_5000_0/default_body/rand_4CW5BC4E6L,test,rand_4CW5BC4E6L,163,False,False,4
garments_5000_0/default_body/rand_ES12HNHVKD,test,rand_ES12HNHVKD,979,False,True,17
garments_5000_0/default_body/rand_0B1T21D8NX,test,rand_0B1T21D8NX,824,False,False,14
garments_5000_0/default_body/rand_Y03LPZ367Z,test,rand_Y03LPZ367Z,805,False,False,16
garments_5000_0/default_body/rand_AYBBF90BFS,test,rand_AYBBF90BFS,257,False,False,4
garments_5000_0/default_body/rand_PM50J4KUDX,test,rand_PM50J4KUDX,448,False,False,6
garments_5000_0/default_body/rand_88URSAGCQ4,test,rand_88URSAGCQ4,189,False,False,4
garments_5000_0/default_body/rand_1328ERLDIC,test,rand_1328ERLDIC,443,False,False,6
garments_5000_0/default_body/rand_C300F8WXY7,test,rand_C300F8WXY7,477,False,False,12
garments_5000_0/default_body/rand_C3E0U17IP1,test,rand_C3E0U17IP1,384,False,False,8
garments_5000_0/default_body/rand_EXQRYEFM3B,test,rand_EXQRYEFM3B,422,False,True,8
garments_5000_0/default_body/rand_2JAPDBM8ES,test,rand_2JAPDBM8ES,518,False,False,6
garments_5000_0/default_body/rand_WJICNQGBAR,test,rand_WJICNQGBAR,518,False,False,8
garments_5000_0/default_body/rand_N46U2TZQAC,test,rand_N46U2TZQAC,609,False,False,8
garments_5000_0/default_body/rand_TL6OSG9ZXU,test,rand_TL6OSG9ZXU,684,False,False,12
garments_5000_0/default_body/rand_F0EEVPENK4,test,rand_F0EEVPENK4,1138,False,True,22
garments_5000_0/default_body/rand_O9FI1BXE6E,test,rand_O9FI1BXE6E,445,False,False,6
garments_5000_0/default_body/rand_TG5H4CH2PF,test,rand_TG5H4CH2PF,490,False,False,6
garments_5000_0/default_body/rand_L998PBTN16,test,rand_L998PBTN16,885,False,False,14
garments_5000_0/default_body/rand_U6KNOVG9KM,test,rand_U6KNOVG9KM,1477,False,True,32
garments_5000_0/default_body/rand_7JW3QMSKDB,test,rand_7JW3QMSKDB,329,False,False,4
garments_5000_0/default_body/rand_NY8PDT0OHH,test,rand_NY8PDT0OHH,168,False,False,4
garments_5000_0/default_body/rand_J90W0DVDAS,test,rand_J90W0DVDAS,993,False,False,18
garments_5000_0/default_body/rand_IEMKDYD8CR,test,rand_IEMKDYD8CR,845,False,True,16
garments_5000_0/default_body/rand_MFCL8S8C17,test,rand_MFCL8S8C17,438,False,False,6
garments_5000_0/default_body/rand_WGPKQ63IXO,test,rand_WGPKQ63IXO,174,False,False,4
garments_5000_0/default_body/rand_9A84WJ2CZE,test,rand_9A84WJ2CZE,453,False,False,10
garments_5000_0/default_body/rand_73F0N2Z9UQ,test,rand_73F0N2Z9UQ,1549,False,True,29
garments_5000_0/default_body/rand_84S0X0BUH1,test,rand_84S0X0BUH1,754,False,False,12
garments_5000_0/default_body/rand_81XJWYQHRK,test,rand_81XJWYQHRK,159,False,False,4
garments_5000_0/default_body/rand_RCP24OQYIY,test,rand_RCP24OQYIY,455,False,False,6
garments_5000_0/default_body/rand_LYODEAC7GD,test,rand_LYODEAC7GD,514,False,False,6
garments_5000_0/default_body/rand_H4W4DSSMT8,test,rand_H4W4DSSMT8,471,False,False,8
garments_5000_0/default_body/rand_C2HCQ3QD4R,test,rand_C2HCQ3QD4R,182,False,False,2
garments_5000_0/default_body/rand_K5S3P6M5IQ,test,rand_K5S3P6M5IQ,187,False,False,2
garments_5000_0/default_body/rand_D51MCA3PRS,test,rand_D51MCA3PRS,461,False,False,6
garments_5000_0/default_body/rand_DL8CTQA0KP,test,rand_DL8CTQA0KP,632,False,False,10
garments_5000_0/default_body/rand_22I0Y5JF41,test,rand_22I0Y5JF41,957,False,False,18
garments_5000_0/default_body/rand_U3Z73ZK426,test,rand_U3Z73ZK426,648,False,False,14
garments_5000_0/default_body/rand_8OFBWHKMNI,test,rand_8OFBWHKMNI,634,False,False,8
garments_5000_0/default_body/rand_NT19SEZ4XS,test,rand_NT19SEZ4XS,1365,False,True,20
garments_5000_0/default_body/rand_8FXYQW8GJ9,test,rand_8FXYQW8GJ9,732,False,False,8
garments_5000_0/default_body/rand_I4KC3P8QRQ,test,rand_I4KC3P8QRQ,1542,False,True,20
garments_5000_0/default_body/rand_6DAJ9S54CB,test,rand_6DAJ9S54CB,487,False,False,6
garments_5000_0/default_body/rand_MHRRSL751P,test,rand_MHRRSL751P,840,False,False,16
garments_5000_0/default_body/rand_EB5SR1OKJ0,test,rand_EB5SR1OKJ0,794,False,False,12
garments_5000_0/default_body/rand_71I4K8S021,test,rand_71I4K8S021,669,False,False,12
garments_5000_0/default_body/rand_ZUH68RCP25,test,rand_ZUH68RCP25,455,False,False,6
garments_5000_0/default_body/rand_8Y4D85ACW7,test,rand_8Y4D85ACW7,539,False,False,12
garments_5000_0/default_body/rand_ZAO0IES79Q,test,rand_ZAO0IES79Q,536,False,False,14
garments_5000_0/default_body/rand_PNBJWGINBT,test,rand_PNBJWGINBT,418,False,False,10
garments_5000_0/default_body/rand_KN6A3O334C,test,rand_KN6A3O334C,481,False,False,12
garments_5000_0/default_body/rand_RWFZMUL7G5,test,rand_RWFZMUL7G5,558,False,False,8
garments_5000_0/default_body/rand_FAEXV1X6CK,test,rand_FAEXV1X6CK,158,False,False,4
garments_5000_0/default_body/rand_PEYI58BOEA,test,rand_PEYI58BOEA,286,False,False,4
garments_5000_0/default_body/rand_NDGABNK1HE,test,rand_NDGABNK1HE,755,False,False,12
garments_5000_0/default_body/rand_XN21WM295Z,test,rand_XN21WM295Z,291,False,False,4
garments_5000_0/default_body/rand_4M2IM1ZCSG,test,rand_4M2IM1ZCSG,1677,False,True,32
garments_5000_0/default_body/rand_W9TX80OSIF,test,rand_W9TX80OSIF,179,False,False,4
garments_5000_0/default_body/rand_7ZUMM30J5I,test,rand_7ZUMM30J5I,503,False,True,12
garments_5000_0/default_body/rand_M7CG6FZ8VB,test,rand_M7CG6FZ8VB,74,False,False,2
garments_5000_0/default_body/rand_LPH6VUQ8U8,test,rand_LPH6VUQ8U8,476,False,False,8
garments_5000_0/default_body/rand_7E15O3SB5F,test,rand_7E15O3SB5F,173,False,False,4
garments_5000_0/default_body/rand_JLAJEHZC1L,test,rand_JLAJEHZC1L,2079,False,True,28
garments_5000_0/default_body/rand_RF2L18LFSC,test,rand_RF2L18LFSC,1230,False,True,18
garments_5000_0/default_body/rand_5O73X5BYGW,test,rand_5O73X5BYGW,1099,False,True,23
garments_5000_0/default_body/rand_4KYFCF656T,test,rand_4KYFCF656T,509,False,False,6
garments_5000_0/default_body/rand_P0KIWLHPVB,test,rand_P0KIWLHPVB,163,False,False,2
garments_5000_0/default_body/rand_EWXJOLYIJC,test,rand_EWXJOLYIJC,159,False,False,4
garments_5000_0/default_body/rand_O9LN5X325O,test,rand_O9LN5X325O,784,False,True,14
garments_5000_0/default_body/rand_TIQFZSM9CC,test,rand_TIQFZSM9CC,1119,False,True,22
garments_5000_0/default_body/rand_XQG94M4A10,test,rand_XQG94M4A10,971,False,False,14
garments_5000_0/default_body/rand_Q1NJEVCAZL,test,rand_Q1NJEVCAZL,326,False,False,4
garments_5000_0/default_body/rand_NLVEL04PVV,test,rand_NLVEL04PVV,192,False,False,2
garments_5000_0/default_body/rand_1HYC1IS9KL,test,rand_1HYC1IS9KL,460,False,False,6
garments_5000_0/default_body/rand_XKWOLUKU3C,test,rand_XKWOLUKU3C,800,False,False,16
garments_5000_0/default_body/rand_2ETYQSPPS0,test,rand_2ETYQSPPS0,739,False,False,14
garments_5000_0/default_body/rand_1X5ZRKGBJ9,test,rand_1X5ZRKGBJ9,433,False,False,6
garments_5000_0/default_body/rand_NREVPLXRB4,test,rand_NREVPLXRB4,172,False,False,2
garments_5000_0/default_body/rand_HK65OS80J3,test,rand_HK65OS80J3,177,False,False,2
garments_5000_0/default_body/rand_2OT2X0E1RR,test,rand_2OT2X0E1RR,438,False,False,6
garments_5000_0/default_body/rand_2BKK8VHKI8,test,rand_2BKK8VHKI8,460,False,False,6
garments_5000_0/default_body/rand_XHTFNAR3MA,test,rand_XHTFNAR3MA,428,False,False,10
garments_5000_0/default_body/rand_XDX2N1D6CI,test,rand_XDX2N1D6CI,555,False,False,8
garments_5000_0/default_body/rand_PIUQNJCCV2,test,rand_PIUQNJCCV2,159,False,False,4
garments_5000_0/default_body/rand_T6NAC46ZMZ,test,rand_T6NAC46ZMZ,189,False,False,2
garments_5000_0/default_body/rand_JYO1DHSFGH,test,rand_JYO1DHSFGH,114,False,True,4
garments_5000_0/default_body/rand_X0RYYHT25Q,test,rand_X0RYYHT25Q,183,False,False,2
garments_5000_0/default_body/rand_AD5AOUSQFK,test,rand_AD5AOUSQFK,722,False,False,10
garments_5000_0/default_body/rand_NG13KJQOGY,test,rand_NG13KJQOGY,748,False,False,10
garments_5000_0/default_body/rand_PGY6QUUHWA,test,rand_PGY6QUUHWA,496,False,True,8
garments_5000_0/default_body/rand_Y9QLWBNSSU,test,rand_Y9QLWBNSSU,69,False,False,2
garments_5000_0/default_body/rand_QEJ53DXT1Y,test,rand_QEJ53DXT1Y,173,False,False,2
garments_5000_0/default_body/rand_I1SJ4RLE2C,test,rand_I1SJ4RLE2C,588,False,False,10
garments_5000_0/default_body/rand_D1QUXALZB3,test,rand_D1QUXALZB3,507,False,True,10
garments_5000_0/default_body/rand_ATSP8XI1DO,test,rand_ATSP8XI1DO,324,False,False,4
garments_5000_0/default_body/rand_HAL02DBE2L,test,rand_HAL02DBE2L,164,False,False,4
garments_5000_0/default_body/rand_AB27PZMGD8,test,rand_AB27PZMGD8,763,False,False,10
garments_5000_0/default_body/rand_O6PLRYH368,test,rand_O6PLRYH368,163,False,False,4
garments_5000_0/default_body/rand_NUH85PAIX7,test,rand_NUH85PAIX7,173,False,False,4
garments_5000_0/default_body/rand_O65KWA3LVQ,test,rand_O65KWA3LVQ,663,False,False,16
garments_5000_0/default_body/rand_V9N46GQYVJ,test,rand_V9N46GQYVJ,625,False,False,8
garments_5000_0/default_body/rand_MWBIJJVQ05,test,rand_MWBIJJVQ05,544,False,False,8
garments_5000_0/default_body/rand_TW0634G7I4,test,rand_TW0634G7I4,679,False,False,16
garments_5000_0/default_body/rand_JLALI9PQSB,test,rand_JLALI9PQSB,932,False,True,14
garments_5000_1/default_body/rand_KIGF4KYDLK,test,rand_KIGF4KYDLK,433,False,False,6
garments_5000_1/default_body/rand_64QEJ9XK5J,test,rand_64QEJ9XK5J,504,False,False,6
garments_5000_1/default_body/rand_OVOS667K48,test,rand_OVOS667K48,184,False,False,2
garments_5000_1/default_body/rand_58G5KVLATR,test,rand_58G5KVLATR,317,False,False,4
garments_5000_1/default_body/rand_B2WH5X1MET,test,rand_B2WH5X1MET,398,False,True,6
garments_5000_1/default_body/rand_88KJUN8T18,test,rand_88KJUN8T18,532,False,True,10
garments_5000_1/default_body/rand_4TZER6QIQE,test,rand_4TZER6QIQE,1375,False,True,28
garments_5000_1/default_body/rand_MLVC36N3BY,test,rand_MLVC36N3BY,766,False,False,16
garments_5000_1/default_body/rand_0HMFEO5BJJ,test,rand_0HMFEO5BJJ,149,False,False,4
garments_5000_1/default_body/rand_V0S25UMQDY,test,rand_V0S25UMQDY,154,False,False,4
garments_5000_1/default_body/rand_7ZLJZJNYFY,test,rand_7ZLJZJNYFY,1156,False,False,18
garments_5000_1/default_body/rand_QTXYOGGN3U,test,rand_QTXYOGGN3U,576,False,False,6
garments_5000_1/default_body/rand_1QV0ZD5JAO,test,rand_1QV0ZD5JAO,612,False,False,12
garments_5000_1/default_body/rand_31YB7VVAYG,test,rand_31YB7VVAYG,570,False,False,14
garments_5000_1/default_body/rand_K09DOI2ERR,test,rand_K09DOI2ERR,709,False,False,10
garments_5000_1/default_body/rand_D0X8QGNPZ4,test,rand_D0X8QGNPZ4,281,False,False,4
garments_5000_1/default_body/rand_R7JIK9KWND,test,rand_R7JIK9KWND,159,False,False,4
garments_5000_1/default_body/rand_VN9XV6DYHH,test,rand_VN9XV6DYHH,291,False,False,4
garments_5000_1/default_body/rand_FV9PC32YOV,test,rand_FV9PC32YOV,168,False,False,4
garments_5000_1/default_body/rand_X0MXSNMKAY,test,rand_X0MXSNMKAY,871,False,True,16
garments_5000_1/default_body/rand_0IO65ELOGG,test,rand_0IO65ELOGG,265,False,True,6
garments_5000_1/default_body/rand_V8B20T9JR5,test,rand_V8B20T9JR5,808,False,False,10
garments_5000_1/default_body/rand_3KY6DUGC36,test,rand_3KY6DUGC36,651,False,False,10
garments_5000_1/default_body/rand_HTWC3YBD4Z,test,rand_HTWC3YBD4Z,687,False,False,12
garments_5000_1/default_body/rand_6T1JN6MPP1,test,rand_6T1JN6MPP1,1088,False,False,18
garments_5000_1/default_body/rand_Y5RC6H261B,test,rand_Y5RC6H261B,487,False,False,6
garments_5000_1/default_body/rand_ZJ4FAC9CCQ,test,rand_ZJ4FAC9CCQ,743,False,False,14
garments_5000_1/default_body/rand_MY7I7FYH7G,test,rand_MY7I7FYH7G,350,False,True,9
garments_5000_1/default_body/rand_HIBDLUFY7D,test,rand_HIBDLUFY7D,323,False,False,4
garments_5000_1/default_body/rand_VE06QJUBF3,test,rand_VE06QJUBF3,643,False,False,14
garments_5000_1/default_body/rand_7TGRJEX39N,test,rand_7TGRJEX39N,408,False,False,10
garments_5000_1/default_body/rand_A6JL211ZXH,test,rand_A6JL211ZXH,779,False,True,14
garments_5000_1/default_body/rand_TKQMUW1GEQ,test,rand_TKQMUW1GEQ,183,False,False,2
garments_5000_1/default_body/rand_I52X82P96X,test,rand_I52X82P96X,663,False,False,8
garments_5000_1/default_body/rand_W0XNMSGTFZ,test,rand_W0XNMSGTFZ,159,False,False,4
garments_5000_1/default_body/rand_W77A749UAF,test,rand_W77A749UAF,618,False,False,16
garments_5000_1/default_body/rand_0GPR6D7NVS,test,rand_0GPR6D7NVS,1364,False,True,16
garments_5000_1/default_body/rand_ZMHNFC04VU,test,rand_ZMHNFC04VU,668,False,False,8
garments_5000_1/default_body/rand_BFNTXLRXAK,test,rand_BFNTXLRXAK,354,False,False,8
garments_5000_1/default_body/rand_J5CI6C09Z0,test,rand_J5CI6C09Z0,328,False,False,4
garments_5000_1/default_body/rand_2C1TE3U7QA,test,rand_2C1TE3U7QA,583,False,False,8
garments_5000_1/default_body/rand_QE3IZNQ2TG,test,rand_QE3IZNQ2TG,149,False,False,4
garments_5000_1/default_body/rand_F86XLCS84L,test,rand_F86XLCS84L,154,False,False,4
garments_5000_1/default_body/rand_LRYW7W27OM,test,rand_LRYW7W27OM,308,False,False,4
garments_5000_1/default_body/rand_QRY8N7UTJX,test,rand_QRY8N7UTJX,326,False,False,4
garments_5000_1/default_body/rand_4GQ5BESMV5,test,rand_4GQ5BESMV5,515,False,False,12
garments_5000_1/default_body/rand_LTLFFZFQY7,test,rand_LTLFFZFQY7,174,False,False,4
garments_5000_1/default_body/rand_RA6YZ6QNDK,test,rand_RA6YZ6QNDK,439,False,False,8
garments_5000_1/default_body/rand_JTO4QV1U6Y,test,rand_JTO4QV1U6Y,559,False,False,10
garments_5000_1/default_body/rand_ONWA8H84KP,test,rand_ONWA8H84KP,1029,False,False,18
garments_5000_1/default_body/rand_B4WEAQO1I4,test,rand_B4WEAQO1I4,260,False,False,6
garments_5000_1/default_body/rand_LYDXE82XOI,test,rand_LYDXE82XOI,1411,False,True,27
garments_5000_1/default_body/rand_0LHH1O2L8N,test,rand_0LHH1O2L8N,185,False,False,4
garments_5000_1/default_body/rand_R6U8SLVOAP,test,rand_R6U8SLVOAP,325,False,False,4
garments_5000_1/default_body/rand_JO6EUV7N2T,test,rand_JO6EUV7N2T,188,False,False,2
garments_5000_1/default_body/rand_9KV0VHQA9M,test,rand_9KV0VHQA9M,177,False,False,4
garments_5000_1/default_body/rand_I7KI6RMSWK,test,rand_I7KI6RMSWK,1202,False,False,26
garments_5000_1/default_body/rand_3Y0NBL7PDI,test,rand_3Y0NBL7PDI,750,False,False,18
garments_5000_1/default_body/rand_7WD6PBUIJP,test,rand_7WD6PBUIJP,158,False,False,4
garments_5000_1/default_body/rand_MV2NHNCD5F,test,rand_MV2NHNCD5F,687,False,False,10
garments_5000_1/default_body/rand_FGU6G1LIGV,test,rand_FGU6G1LIGV,725,False,False,10
garments_5000_1/default_body/rand_5F3YLQFCKI,test,rand_5F3YLQFCKI,187,False,False,2
garments_5000_1/default_body/rand_38DB7F2HSC,test,rand_38DB7F2HSC,619,False,False,14
garments_5000_1/default_body/rand_X6VBRQMTLI,test,rand_X6VBRQMTLI,405,False,False,10
garments_5000_1/default_body/rand_549X1L21AQ,test,rand_549X1L21AQ,591,False,False,10
garments_5000_1/default_body/rand_D47IC19U3L,test,rand_D47IC19U3L,487,False,False,12
garments_5000_1/default_body/rand_IK5FUEPO9V,test,rand_IK5FUEPO9V,654,False,False,10
garments_5000_1/default_body/rand_6GIJT1REPO,test,rand_6GIJT1REPO,287,False,False,4
garments_5000_1/default_body/rand_C6ESJ6ZJZH,test,rand_C6ESJ6ZJZH,207,False,False,2
garments_5000_1/default_body/rand_4TJC1640N1,test,rand_4TJC1640N1,1027,False,True,17
garments_5000_1/default_body/rand_F7GY0FEEZ8,test,rand_F7GY0FEEZ8,645,False,False,16
garments_5000_1/default_body/rand_PPCFT5O9ND,test,rand_PPCFT5O9ND,711,False,False,16
garments_5000_1/default_body/rand_M6TE0I5IY8,test,rand_M6TE0I5IY8,924,False,False,16
garments_5000_1/default_body/rand_C1LQIOD6HP,test,rand_C1LQIOD6HP,301,False,False,4
garments_5000_1/default_body/rand_ICP8REL29T,test,rand_ICP8REL29T,477,False,False,6
garments_5000_1/default_body/rand_HYFNKZRVGT,test,rand_HYFNKZRVGT,512,False,False,12
garments_5000_1/default_body/rand_XR68JI28HB,test,rand_XR68JI28HB,504,False,False,6
garments_5000_1/default_body/rand_RT4L9TWXJJ,test,rand_RT4L9TWXJJ,873,False,True,14
garments_5000_1/default_body/rand_3C7X2I6WQ7,test,rand_3C7X2I6WQ7,438,False,False,6
garments_5000_1/default_body/rand_RAR4AG1A5O,test,rand_RAR4AG1A5O,163,False,False,4
garments_5000_1/default_body/rand_BLLIDO1JFE,test,rand_BLLIDO1JFE,638,False,False,10
garments_5000_1/default_body/rand_D6BKPDOWCL,test,rand_D6BKPDOWCL,1151,False,False,20
garments_5000_1/default_body/rand_7HT4XI6H37,test,rand_7HT4XI6H37,575,False,True,8
garments_5000_1/default_body/rand_VML9O35DYR,test,rand_VML9O35DYR,505,False,False,12
garments_5000_1/default_body/rand_M3MIV5MHSV,test,rand_M3MIV5MHSV,732,False,False,16
garments_5000_1/default_body/rand_73NKBD3N21,test,rand_73NKBD3N21,1144,False,True,20
garments_5000_1/default_body/rand_3T44E4KQ6L,test,rand_3T44E4KQ6L,174,False,False,2
garments_5000_1/default_body/rand_UO71H0TWCD,test,rand_UO71H0TWCD,282,False,False,4
garments_5000_1/default_body/rand_WTTK42WCV4,test,rand_WTTK42WCV4,477,False,False,6
garments_5000_1/default_body/rand_VVNZ9UO27D,test,rand_VVNZ9UO27D,271,False,False,4
garments_5000_1/default_body/rand_ZRZEVH82QN,test,rand_ZRZEVH82QN,275,False,True,6
garments_5000_1/default_body/rand_OT7XEEKDOK,test,rand_OT7XEEKDOK,612,False,False,12
garments_5000_1/default_body/rand_LM6KIG5S5W,test,rand_LM6KIG5S5W,516,False,False,12
garments_5000_1/default_body/rand_CL48THYSPN,test,rand_CL48THYSPN,917,False,True,18
garments_5000_1/default_body/rand_099RWI7DCB,test,rand_099RWI7DCB,589,False,False,12
garments_5000_1/default_body/rand_B64S5OYT42,test,rand_B64S5OYT42,719,False,False,12
garments_5000_1/default_body/rand_JB1XK5QH4V,test,rand_JB1XK5QH4V,334,False,False,4
garments_5000_1/default_body/rand_E3IN9RH60H,test,rand_E3IN9RH60H,890,False,False,14
garments_5000_1/default_body/rand_99YLZZGB6N,test,rand_99YLZZGB6N,990,False,False,16
garments_5000_1/default_body/rand_LTQ4AZIPX0,test,rand_LTQ4AZIPX0,314,False,False,4
garments_5000_1/default_body/rand_7QSJQYA3KZ,test,rand_7QSJQYA3KZ,801,False,False,14
garments_5000_1/default_body/rand_JN4KOZF8SJ,test,rand_JN4KOZF8SJ,514,False,False,6
garments_5000_1/default_body/rand_22CMEGP7XN,test,rand_22CMEGP7XN,890,False,False,22
garments_5000_1/default_body/rand_WCRGR3FKYU,test,rand_WCRGR3FKYU,1171,False,True,20
garments_5000_1/default_body/rand_TM0KNGEYJX,test,rand_TM0KNGEYJX,295,False,False,6
garments_5000_1/default_body/rand_25L0X2YZ67,test,rand_25L0X2YZ67,765,False,False,10
garments_5000_1/default_body/rand_PDZ82SGQPZ,test,rand_PDZ82SGQPZ,199,False,False,2
garments_5000_1/default_body/rand_FQDUOA1H3R,test,rand_FQDUOA1H3R,756,False,False,14
garments_5000_1/default_body/rand_L2JHGRETKJ,test,rand_L2JHGRETKJ,528,False,False,6
garments_5000_1/default_body/rand_GB1YAZJLQN,test,rand_GB1YAZJLQN,504,False,False,6
garments_5000_1/default_body/rand_SR2XAUUY80,test,rand_SR2XAUUY80,668,False,False,8
garments_5000_1/default_body/rand_TXICYGPZ8F,test,rand_TXICYGPZ8F,430,False,True,8
garments_5000_1/default_body/rand_HNEA1F4SNC,test,rand_HNEA1F4SNC,500,False,False,6
garments_5000_1/default_body/rand_CTQLKYNKFK,test,rand_CTQLKYNKFK,566,False,False,14
garments_5000_1/default_body/rand_KS51ATTHPY,test,rand_KS51ATTHPY,154,False,False,4
garments_5000_1/default_body/rand_5BHTLAXTHF,test,rand_5BHTLAXTHF,511,False,False,12
garments_5000_1/default_body/rand_9D6GUJPPCV,test,rand_9D6GUJPPCV,670,False,True,16
